feature_name,correlation_with_target
wow_change,0.6391588875178277
avg_deposit_to_date,0.37761235885986655
rolling_sum_30d,0.3147430557244562
rolling_mean_30d,0.3147186349799439
rolling_sum_14d,0.2900404309734199
rolling_mean_14d,0.28843703763483536
rolling_std_30d,0.2717221541121848
total_deposits_to_date,0.2594867986197701
rolling_sum_7d,0.2591910105682398
rolling_mean_7d,0.2586942975738031
avg_same_day_last_4weeks,0.2530192803197937
rolling_std_14d,0.25136979197726556
rolling_std_7d,0.23242347625717918
rolling_max_30d,0.228361286054896
rolling_max_7d,0.22667458042244396
rolling_max_14d,0.22627959613096899
days_since_last_deposit,0.22225829751020282
customer_recent_avg,0.1997116604347349
deposit_same_day_last_week,0.15928269682711543
deposit_lag_7d,0.15928269682711543
deposit_same_day_4weeks_ago,0.15447608853932657
deposit_lag_14d,0.15101515409771554
deposit_same_day_2weeks_ago,0.15101515409771554
deposit_lag_1d,0.14541328207067483
deposit_frequency_to_date,0.12822998361420584
deposit_lag_3d,0.11617013961515935
deposit_lag_30d,0.11198815661951785
customer_recent_activity,0.07712931008530174
non_zero_deposits_to_date,0.05836944066527479
rolling_min_7d,0.0552198785116208
volatility_ratio,0.04732741407538473
prev_day_had_deposit,0.042469431505479445
rolling_min_14d,0.04037769956377375
rolling_min_30d,0.035241557342606186
is_month_end,0.03247758933706403
is_month_start,0.0291220266933537
month_sin,0.02266044002313613
num_deposits_to_date,0.022469463843292656
days_from_start,0.022469463843292656
is_weekend,0.016856798078231507
month,0.013896423346975849
week_of_year,0.013707729260132737
day_of_year,0.013489129011051914
month_cos,0.013484706157984356
dow_cos,0.011895758006908806
day_of_week,0.008322120556067849
growth_7d_vs_30d,0.006635095142325446
dow_sin,0.005577152781599708
deposit_momentum,0.004833613871910161
day_of_month,0.004242845241183041
customer_recent_trend,0.001666922710059576
