model,MAE,RMSE,R2,MAPE,split
Linear Regression (Train),6.847876506095292,23.45316368591379,0.9831274365223744,9.798506593232679,train
Linear Regression (Val),6.6745686426513675,10.346547995660988,0.9957809848588121,18.272913796450517,val
Ridge (Train),6.847850944273503,23.453173256714113,0.9831274227516124,9.798437263659606,train
Ridge (Val),6.675844175067976,10.347107796439602,0.9957805283061812,18.276793374165692,val
Random Forest (Train),0.9446156312995856,23.251862039463944,0.9834158324636622,1.547906196598511,train
Random Forest (Val),0.660448497673051,9.301584363971047,0.9965901600916363,1.8567006765896077,val
XGBoost (Train),2.190334248981993,9.068104892653562,0.9974776156013224,4.916247610098772,train
XGBoost (Val),3.8207047997703043,36.60050165892779,0.9472048283003148,7.542801166342031,val
LightGBM (Train),3.34852452356201,21.272166280253096,0.9861196109278533,8.622481631850325,train
LightGBM (Val),3.478082441784502,28.11494384477105,0.9688473804447435,11.6718079017134,val
